Nonterminal,UPDATE,comentario,eliminar,desde,id,dotcomma,crear,tabla,lpar,rpar,comma,entero,varchar,serial,booleano,no,nulo,clave,primaria,unico,seleccionar,times,donde,y,lt,gt,le,ge,eq,ne,insertar,dentro,valores,plus,time,number,bool,string,$
MAIN,MAIN -> STATEMENT STATEMENTS,MAIN -> STATEMENT STATEMENTS,MAIN -> STATEMENT STATEMENTS,,,,MAIN -> STATEMENT STATEMENTS,,,,,,,,,,,,,,MAIN -> STATEMENT STATEMENTS,,,,,,,,,,MAIN -> STATEMENT STATEMENTS,,,,,,,,
STATEMENTS,STATEMENTS -> STATEMENT STATEMENTS,STATEMENTS -> STATEMENT STATEMENTS,STATEMENTS -> STATEMENT STATEMENTS,,,,STATEMENTS -> STATEMENT STATEMENTS,,,,,,,,,,,,,,STATEMENTS -> STATEMENT STATEMENTS,,,,,,,,,,STATEMENTS -> STATEMENT STATEMENTS,,,,,,,,STATEMENTS -> ''
STATEMENT,STATEMENT -> UPDATE,STATEMENT -> comentario,STATEMENT -> DELETE,,,,STATEMENT -> CREATE,,,,,,,,,,,,,,STATEMENT -> SELECT,,,,,,,,,,STATEMENT -> INSERT,,,,,,,,
DELETE,,,DELETE -> eliminar desde id dotcomma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREATE,,,,,,,CREATE -> crear tabla id lpar ELEMENTS rpar dotcomma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEMENTS,,,,,ELEMENTS -> ELEMENT,,,,,ELEMENTS -> ELEMENT,ELEMENTS -> ELEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEMENT,,,,,ELEMENT -> id TYPE CONSTRUCT ELEMENT,,,,,ELEMENT -> '',ELEMENT -> comma ELEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYPE,,,,,,,,,,,,TYPE -> entero,TYPE -> varchar,TYPE -> serial,TYPE -> booleano,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCT,,,,,CONSTRUCT -> '',,,,,CONSTRUCT -> '',CONSTRUCT -> '',,,,,CONSTRUCT -> no nulo CONSTRUCT,,CONSTRUCT -> clave primaria CONSTRUCT,,CONSTRUCT -> unico CONSTRUCT,,,,,,,,,,,,,,,,,,,
SELECT,,,,,,,,,,,,,,,,,,,,,SELECT -> seleccionar PARAMS desde id CONDITIONAL dotcomma,,,,,,,,,,,,,,,,,,
PARAMS,,,,,,,,,PARAMS -> lpar PARAM rpar,,,,,,,,,,,,,PARAMS -> times,,,,,,,,,,,,,,,,,
PARAM,,,,,PARAM -> NAMEPARAM,,,,,PARAM -> NAMEPARAM,PARAM -> NAMEPARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMEPARAM,,,,,NAMEPARAM -> id NAMEPARAM,,,,,NAMEPARAM -> '',NAMEPARAM -> comma NAMEPARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONDITIONAL,,,,,,CONDITIONAL -> '',,,,,,,,,,,,,,,,,CONDITIONAL -> donde id OPERATOR TRM CONDITION,,,,,,,,,,,,,,,,
CONDITION,,,,,,CONDITION -> '',,,,,,,,,,,,,,,,,,CONDITION -> y id OPERATOR TRM CONDITION,,,,,,,,,,,,,,,
OPERATOR,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR -> lt,OPERATOR -> gt,OPERATOR -> le,OPERATOR -> ge,OPERATOR -> eq,OPERATOR -> ne,,,,,,,,,
INSERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSERT -> insertar dentro id lpar COLUMNAMES rpar valores lpar VALUES rpar dotcomma,,,,,,,,
COLUMNAMES,,,,,COLUMNAMES -> COLUMNAME,,,,,COLUMNAMES -> COLUMNAME,COLUMNAMES -> COLUMNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMNAME,,,,,COLUMNAME -> id COLUMNAME,,,,,COLUMNAME -> '',COLUMNAME -> comma COLUMNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALUES,,,,,,,,,,VALUES -> VALUE,VALUES -> VALUE,,,,,,,,,,,,,,,,,,,,,,,VALUES -> VALUE,VALUES -> VALUE,VALUES -> VALUE,VALUES -> VALUE,VALUES -> VALUE,
VALUE,,,,,,,,,,VALUE -> '',VALUE -> comma VALUE,,,,,,,,,,,,,,,,,,,,,,,VALUE -> SYMBOL VALUE,VALUE -> SYMBOL VALUE,VALUE -> TRM VALUE,VALUE -> TRM VALUE,VALUE -> TRM VALUE,
SYMBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYMBOL -> plus,SYMBOL -> time,,,,
TRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRM -> number,TRM -> bool,TRM -> string, 